Industrial Production;Date;Switzerland;USA;China;Euro Area;UK
1;01/01/1999;61,40;88,80;103,30;85,10;88,10
2;01/02/1999;61,54;89,30;89,50;84,00;88,20
3;01/03/1999;61,81;89,50;95,50;84,40;89,10
4;01/04/1999;62,22;89,70;95,60;84,70;88,90
5;01/05/1999;62,67;90,30;95,40;85,00;89,80
6;01/06/1999;63,18;90,20;95,60;85,50;89,60
7;01/07/1999;63,73;90,70;95,80;86,30;90,50
8;01/08/1999;64,36;91,10;96,00;86,30;91,20
9;01/09/1999;65,07;90,80;94,80;86,90;91,70
10;01/10/1999;65,87;91,90;93,80;87,90;91,10
11;01/11/1999;66,65;92,40;94,30;88,00;91,80
12;01/12/1999;67,41;93,20;94,10;87,90;90,60
13;01/01/2000;68,16;93,10;95,40;87,70;91,40
14;01/02/2000;68,53;93,40;98,20;88,80;91,70
15;01/03/2000;68,51;93,80;98,10;89,00;91,40
16;01/04/2000;68,11;94,40;97,60;90,10;91,20
17;01/05/2000;68,05;94,60;97,70;91,30;91,50
18;01/06/2000;68,32;94,70;98,30;90,10;92,00
19;01/07/2000;68,93;94,50;98,90;91,10;91,40
20;01/08/2000;69,49;94,30;98,90;91,10;92,60
21;01/09/2000;70,00;94,70;98,20;91,30;92,30
22;01/10/2000;70,46;94,30;97,60;91,50;92,50
23;01/11/2000;70,91;94,40;96,90;92,30;93,30
24;01/12/2000;71,36;94,00;96,80;92,90;95,20
25;01/01/2001;71,81;93,60;89,70;92,10;95,00
26;01/02/2001;71,74;93,00;104,30;92,50;95,00
27;01/03/2001;71,16;92,70;98,20;92,10;95,80
28;01/04/2001;70,07;92,40;97,70;91,20;96,30
29;01/05/2001;69,24;91,90;96,60;91,50;95,80
30;01/06/2001;68,66;91,40;96,50;91,50;96,50
31;01/07/2001;68,34;90,90;94,70;89,80;96,20
32;01/08/2001;67,97;90,80;94,70;91,90;97,30
33;01/09/2001;67,56;90,30;96,00;90,80;96,80
34;01/10/2001;67,10;90,00;95,40;89,40;96,20
35;01/11/2001;66,41;89,50;94,60;88,90;96,30
36;01/12/2001;65,48;89,50;95,30;89,70;95,90
37;01/01/2002;64,31;90,10;103,90;89,60;95,30
38;01/02/2002;63,91;90,10;90,00;89,80;95,40
39;01/03/2002;64,26;90,80;97,20;90,60;97,20
40;01/04/2002;65,38;91,20;98,20;90,40;95,10
41;01/05/2002;66,03;91,60;98,90;90,80;98,10
42;01/06/2002;66,22;92,30;98,50;91,20;93,10
43;01/07/2002;65,95;92,30;98,90;90,50;99,20
44;01/08/2002;65,71;92,20;98,80;90,80;99,00
45;01/09/2002;65,52;92,30;99,70;91,30;100,50
46;01/10/2002;65,36;92,10;100,10;90,70;99,20
47;01/11/2002;65,21;92,60;100,40;91,10;99,50
48;01/12/2002;65,07;92,10;100,70;89,90;100,30
49;01/01/2003;64,94;92,80;100,60;91,20;99,80
50;01/02/2003;64,66;92,90;105,00;91,40;100,90
51;01/03/2003;64,22;92,70;102,50;90,80;100,60
52;01/04/2003;63,64;92,10;100,70;91,10;100,10
53;01/05/2003;63,72;92,10;99,60;89,60;98,80
54;01/06/2003;64,47;92,20;102,50;89,60;99,40
55;01/07/2003;65,89;92,70;102,10;91,10;100,00
56;01/08/2003;66,75;92,50;102,60;90,00;100,20
57;01/09/2003;67,07;93,10;101,90;89,70;100,40
58;01/10/2003;66,83;93,20;102,70;92,20;102,20
59;01/11/2003;66,80;93,80;103,30;92,00;100,80
60;01/12/2003;66,99;93,90;103,50;92,10;100,80
61;01/01/2004;67,39;94,00;94,00;91,90;102,10
62;01/02/2004;68,03;94,60;108,00;92,70;101,80
63;01/03/2004;68,91;94,20;104,60;92,10;101,90
64;01/04/2004;70,03;94,60;104,40;93,00;102,40
65;01/05/2004;70,18;95,30;103,00;93,20;100,90
66;01/06/2004;69,37;94,60;101,80;93,00;100,70
67;01/07/2004;67,59;95,30;101,20;93,80;100,30
68;01/08/2004;66,47;95,40;101,60;92,10;98,80
69;01/09/2004;66,02;95,50;101,80;93,30;98,50
70;01/10/2004;66,22;96,30;101,40;93,70;98,50
71;01/11/2004;66,50;96,50;100,60;92,60;99,20
72;01/12/2004;66,86;97,30;100,30;92,80;98,70
73;01/01/2005;67,28;97,60;106,00;93,80;99,30
74;01/02/2005;67,51;98,30;94,30;93,30;98,90
75;01/03/2005;67,54;98,20;100,90;93,40;97,30
76;01/04/2005;67,37;98,40;101,70;94,80;99,90
77;01/05/2005;67,32;98,50;102,20;93,40;99,30
78;01/06/2005;67,40;98,90;102,40;94,30;100,10
79;01/07/2005;67,59;98,60;101,80;94,90;98,90
80;01/08/2005;67,97;98,90;101,70;93,60;98,10
81;01/09/2005;68,52;97,00;102,10;95,10;99,50
82;01/10/2005;69,24;98,20;101,80;95,30;98,50
83;01/11/2005;69,82;99,30;102,20;96,80;99,80
84;01/12/2005;70,27;99,80;102,10;95,80;103,20
85;01/01/2006;70,57;99,90;103,70;96,50;101,80
86;01/02/2006;70,93;100,00;105,30;96,50;101,70
87;01/03/2006;71,33;100,20;103,20;97,10;102,90
88;01/04/2006;71,77;100,50;102,20;97,40;103,10
89;01/05/2006;72,13;100,50;103,30;98,80;104,00
90;01/06/2006;72,41;100,90;104,70;98,80;104,60
91;01/07/2006;72,61;100,80;102,30;98,70;103,50
92;01/08/2006;73,34;101,20;101,40;98,90;104,40
