Date;Switzerland;USA;China;Euro Area;UK
1999-01-01;61.4027507;88.8;103.3;85.1;88.1
1999-02-01;61.5384327;89.3;89.5;84;88.2
1999-03-01;61.8097967;89.5;95.5;84.4;89.1
1999-04-01;62.2168426;89.7;95.6;84.7;88.9
1999-05-01;62.6722572;90.3;95.4;85;89.8
1999-06-01;63.1760402;90.2;95.6;85.5;89.6
1999-07-01;63.7281919;90.7;95.8;86.3;90.5
1999-08-01;64.3609284;91.1;96;86.3;91.2
1999-09-01;65.0742497;90.8;94.8;86.9;91.7
1999-10-01;65.868156;91.9;93.8;87.9;91.1
1999-11-01;66.6473905;92.4;94.3;88;91.8
1999-12-01;67.4119535;93.2;94.1;87.9;90.6
2000-01-01;68.1618449;93.1;95.4;87.7;91.4
2000-02-01;68.5289316;93.4;98.2;88.8;91.7
2000-03-01;68.5132136;93.8;98.1;89;91.4
2000-04-01;68.1146909;94.4;97.6;90.1;91.2
2000-05-01;68.0512396;94.6;97.7;91.3;91.5
2000-06-01;68.3228596;94.7;98.3;90.1;92
2000-07-01;68.9295509;94.5;98.9;91.1;91.4
2000-08-01;69.4874081;94.3;98.9;91.1;92.6
2000-09-01;69.996431;94.7;98.2;91.3;92.3
2000-10-01;70.4566198;94.3;97.6;91.5;92.5
2000-11-01;70.9116572;94.4;96.9;92.3;93.3
2000-12-01;71.361543;94;96.8;92.9;95.2
2001-01-01;71.8062774;93.6;89.7;92.1;95
2001-02-01;71.739788;93;104.3;92.5;95
2001-03-01;71.1620746;92.7;98.2;92.1;95.8
2001-04-01;70.0731373;92.4;97.7;91.2;96.3
2001-05-01;69.2396125;91.9;96.6;91.5;95.8
2001-06-01;68.6615002;91.4;96.5;91.5;96.5
2001-07-01;68.3388002;90.9;94.7;89.8;96.2
2001-08-01;67.9711901;90.8;94.7;91.9;97.3
2001-09-01;67.5586697;90.3;96;90.8;96.8
2001-10-01;67.101239;90;95.4;89.4;96.2
2001-11-01;66.4074321;89.5;94.6;88.9;96.3
2001-12-01;65.4772489;89.5;95.3;89.7;95.9
2002-01-01;64.3106893;90.1;103.9;89.6;95.3
2002-02-01;63.9057399;90.1;90;89.8;95.4
2002-03-01;64.2624008;90.8;97.2;90.6;97.2
2002-04-01;65.3806718;91.2;98.2;90.4;95.1
2002-05-01;66.0342707;91.6;98.9;90.8;98.1
2002-06-01;66.2231976;92.3;98.5;91.2;93.1
2002-07-01;65.9474523;92.3;98.9;90.5;99.2
2002-08-01;65.7119843;92.2;98.8;90.8;99
2002-09-01;65.5167934;92.3;99.7;91.3;100.5
2002-10-01;65.3618797;92.1;100.1;90.7;99.2
2002-11-01;65.2142065;92.6;100.4;91.1;99.5
2002-12-01;65.0737739;92.1;100.7;89.9;100.3
2003-01-01;64.9405818;92.8;100.6;91.2;99.8
2003-02-01;64.6570299;92.9;105;91.4;100.9
2003-03-01;64.2231183;92.7;102.5;90.8;100.6
2003-04-01;63.638847;92.1;100.7;91.1;100.1
2003-05-01;63.7213139;92.1;99.6;89.6;98.8
2003-06-01;64.4705191;92.2;102.5;89.6;99.4
2003-07-01;65.8864624;92.7;102.1;91.1;100
2003-08-01;66.751339;92.5;102.6;90;100.2
2003-09-01;67.0651486;93.1;101.9;89.7;100.4
2003-10-01;66.8278914;93.2;102.7;92.2;102.2
2003-11-01;66.8030611;93.8;103.3;92;100.8
2003-12-01;66.9906576;93.9;103.5;92.1;100.8
2004-01-01;67.3906809;94;94;91.9;102.1
2004-02-01;68.0301086;94.6;108;92.7;101.8
2004-03-01;68.9089405;94.2;104.6;92.1;101.9
2004-04-01;70.0271768;94.6;104.4;93;102.4
2004-05-01;70.1801908;95.3;103;93.2;100.9
2004-06-01;69.3679824;94.6;101.8;93;100.7
2004-07-01;67.5905518;95.3;101.2;93.8;100.3
2004-08-01;66.4740953;95.4;101.6;92.1;98.8
2004-09-01;66.0186129;95.5;101.8;93.3;98.5
2004-10-01;66.2241046;96.3;101.4;93.7;98.5
2004-11-01;66.5033166;96.5;100.6;92.6;99.2
2004-12-01;66.8562489;97.3;100.3;92.8;98.7
2005-01-01;67.2829015;97.6;106;93.8;99.3
2005-02-01;67.5102385;98.3;94.3;93.3;98.9
2005-03-01;67.53826;98.2;100.9;93.4;97.3
2005-04-01;67.3669658;98.4;101.7;94.8;99.9
2005-05-01;67.3193154;98.5;102.2;93.4;99.3
2005-06-01;67.3953088;98.9;102.4;94.3;100.1
2005-07-01;67.5949461;98.6;101.8;94.9;98.9
2005-08-01;67.9686258;98.9;101.7;93.6;98.1
2005-09-01;68.5163481;97;102.1;95.1;99.5
2005-10-01;69.2381128;98.2;101.8;95.3;98.5
2005-11-01;69.8213619;99.3;102.2;96.8;99.8
2005-12-01;70.2660953;99.8;102.1;95.8;103.2
2006-01-01;70.5723131;99.9;103.7;96.5;101.8
2006-02-01;70.9252927;100;105.3;96.5;101.7
2006-03-01;71.3250343;100.2;103.2;97.1;102.9
2006-04-01;71.7715377;100.5;102.2;97.4;103.1
2006-05-01;72.1344453;100.5;103.3;98.8;104
2006-06-01;72.413757;100.9;104.7;98.8;104.6
2006-07-01;72.6094729;100.8;102.3;98.7;103.5
2006-08-01;73.3428422;101.2;101.4;98.9;104.4
2006-09-01;74.6138649;101.1;101.8;99;104.7
2006-10-01;76.4225411;100.9;100.5;98.8;103.6
2006-11-01;77.3221668;100.9;100.7;99.7;104.3
2006-12-01;77.312742;102;100.5;101.1;103.6
2007-01-01;76.3942667;101.6;99.6;100.6;104
2007-02-01;76.4459679;102.6;98.7;101.2;102.6
2007-03-01;77.4678454;102.8;103.1;101.9;102.3
2007-04-01;79.4598995;103.4;102.9;100.5;100.9
