Date;Switzerland;USA;China;Euro;UK
01/01/1999;0,1;1,7;-1,2;0,9;2,0
01/02/1999;0,3;1,7;-1,3;0,8;1,8
01/03/1999;0,5;1,7;-1,8;1,0;2,1
01/04/1999;0,6;2,3;-2,2;1,1;2,0
01/05/1999;0,6;2,1;-2,2;1,0;1,8
01/06/1999;0,6;2,0;-2,1;0,9;1,8
01/07/1999;0,7;2,1;-1,4;1,1;1,7
01/08/1999;0,9;2,3;-1,3;1,2;1,7
01/09/1999;1,2;2,6;-0,8;1,3;1,5
01/10/1999;1,2;2,6;-0,6;1,4;1,5
01/11/1999;1,3;2,6;-0,9;1,5;1,5
01/12/1999;1,7;2,7;-1;1,8;1,5
01/01/2000;1,6;2,8;-0,2;1,9;1,1
01/02/2000;1,6;3,2;0,7;2,0;1,3
01/03/2000;1,5;3,8;-0,2;2,1;1,0
01/04/2000;1,4;3,0;-0,3;1,8;1,0
01/05/2000;1,6;3,1;0,1;1,9;1,0
01/06/2000;1,8;3,7;0,5;2,2;1,2
01/07/2000;1,9;3,6;0,5;2,2;1,2
01/08/2000;1,1;3,4;0,3;2,1;1,0
01/09/2000;1,4;3,5;0;2,5;1,4
01/10/2000;1,3;3,5;0;2,5;1,4
01/11/2000;1,9;3,4;1,3;2,5;1,5
01/12/2000;1,5;3,4;1,5;2,6;1,2
01/01/2001;1,3;3,7;1,2;2,1;1,2
01/02/2001;0,8;3,5;0;2,1;1,2
01/03/2001;1,0;3,0;0,8;2,3;1,2
01/04/2001;1,2;3,2;1,6;2,8;1,5
01/05/2001;1,8;3,6;1,7;3,1;1,9
01/06/2001;1,6;3,2;1,4;2,9;1,9
01/07/2001;1,4;2,7;1,5;2,6;1,6
01/08/2001;1,1;2,7;1;2,4;2,0
01/09/2001;0,7;2,6;-0,1;2,3;1,6
01/10/2001;0,6;2,1;0,2;2,3;1,5
01/11/2001;0,3;1,9;-0,3;2,0;1,2
01/12/2001;0,3;1,6;-0,3;2,1;1,4
01/01/2002;0,5;1,2;-1;2,6;1,8
01/02/2002;0,7;1,1;0;2,5;1,8
01/03/2002;0,5;1,4;-0,7;2,5;1,8
01/04/2002;1,1;1,6;-1,2;2,4;1,6
01/05/2002;0,6;1,2;-1;2,1;1,2
01/06/2002;0,3;1,1;-0,7;1,9;1,1
01/07/2002;-0,1;1,5;-0,9;2,0;1,5
01/08/2002;0,5;1,7;-0,7;2,2;1,3
01/09/2002;0,5;1,5;-0,6;2,1;1,3
01/10/2002;1,2;2,0;-0,7;2,3;1,6
01/11/2002;0,9;2,3;-0,6;2,3;1,6
01/12/2002;0,9;2,5;-0,4;2,3;1,7
01/01/2003;0,8;2,8;0,4;2,2;1,5
01/02/2003;0,9;3,1;0,2;2,4;1,5
01/03/2003;1,3;3,0;0,9;2,4;1,6
01/04/2003;0,7;2,2;1;2,1;1,6
01/05/2003;0,4;1,9;0,6;1,9;1,3
01/06/2003;0,5;1,9;0,3;2,0;1,2
01/07/2003;0,3;2,1;0,5;2,0;1,3
01/08/2003;0,5;2,2;0,9;2,1;1,3
01/09/2003;0,5;2,4;1,1;2,2;1,3
01/10/2003;0,5;2,0;1,8;2,1;1,3
01/11/2003;0,5;1,9;2,9;2,2;1,3
01/12/2003;0,6;2,0;3,2;2,0;1,3
01/01/2004;0,2;2,0;3,2;1,8;1,4
01/02/2004;0,1;1,7;2,1;1,7;1,4
01/03/2004;-0,1;1,7;3;1,7;1,2
01/04/2004;0,5;2,3;3,7;2,1;1,0
01/05/2004;0,9;2,9;4,4;2,5;1,4
01/06/2004;1,1;3,2;4,9;2,4;1,6
