"Date","Switzerland","USA","Euro","UK","China"
1999-01-01,0.1,1.7,0.9,1.97160838742963,-1.2
1999-02-01,0.3,1.7,0.8,1.81880558435035,-1.3
1999-03-01,0.534414817269808,1.7,0.97284381645802,2.10287235702838,-1.8
1999-04-01,0.565585182730192,2.3,1.12715618354198,1.9631554018585,-2.2
1999-05-01,0.6,2.1,1,1.86155610449093,-2.2
1999-06-01,0.6,2,0.9,1.77528849365057,-2.1
1999-07-01,0.7,2.1,1.1,1.69732473160987,-1.4
1999-08-01,0.9,2.3,1.2,1.68646928116199,-1.3
1999-09-01,1.2,2.6,1.3,1.54172524277013,-0.8
1999-10-01,1.2,2.6,1.4,1.47160838742963,-0.6
1999-11-01,1.3,2.6,1.5,1.48666636980024,-0.9
1999-12-01,1.7,2.7,1.8,1.47936138908664,-1
2000-01-01,1.6,2.8,1.9,1.16155610449093,-0.2
2000-02-01,1.6,3.2,2,1.20266575337138,0.7
2000-03-01,1.44345055256594,3.8,2.14268996754336,0.979361389086643,-0.2
2000-04-01,1.45654944743406,3,1.75731003245664,1.03397224111312,-0.3
2000-05-01,1.6,3.1,1.9,1.00287235702838,0.1
2000-06-01,1.8,3.7,2.2,1.1631554018585,0.5
2000-07-01,1.9,3.6,2.2,1.26155610449093,0.5
2000-08-01,1.1,3.4,2.1,1.00080774919256,0.3
2000-09-01,1.4,3.5,2.5,1.37180547606788,0
2000-10-01,1.3,3.5,2.5,1.38646928116199,0
2000-11-01,1.9,3.4,2.5,1.54172524277013,1.3
2000-12-01,1.5,3.4,2.6,1.17160838742963,1.5
2001-01-01,1.3,3.7,2.1,1.20287235702838,1.2
2001-02-01,0.8,3.5,2.1,1.21880558435035,0
2001-03-01,0.951030907957928,3,2.34268996754336,1.19732473160987,0.8
2001-04-01,1.24896909204207,3.2,2.75731003245664,1.52738677473956,1.6
2001-05-01,1.8,3.6,3.1,1.90080774919256,1.7
2001-06-01,1.6,3.2,2.9,1.87180547606788,1.4
2001-07-01,1.4,2.7,2.6,1.58646928116199,1.5
2001-08-01,1.1,2.7,2.4,1.97936138908664,1
2001-09-01,0.7,2.6,2.3,1.63397224111312,-0.1
2001-10-01,0.6,2.1,2.3,1.50287235702838,0.2
2001-11-01,0.3,1.9,2,1.1631554018585,-0.3
2001-12-01,0.3,1.6,2.1,1.46155610449093,-0.3
2002-01-01,0.5,1.2,2.6,1.80080774919256,-1
2002-02-01,0.7,1.1,2.5,1.81880558435035,0
2002-03-01,0.557155883445776,1.4,2.43093612580682,1.77160838742963,-0.7
2002-04-01,1.04284411655422,1.6,2.46906387419318,1.58666636980024,-1.2
2002-05-01,0.6,1.2,2.1,1.17936138908664,-1
2002-06-01,0.3,1.1,1.9,1.13397224111312,-0.7
2002-07-01,-0.1,1.5,2,1.50287235702838,-0.9
2002-08-01,0.5,1.7,2.2,1.29732473160987,-0.7
2002-09-01,0.5,1.5,2.1,1.32738677473956,-0.6
2002-10-01,1.2,2,2.3,1.60080774919256,-0.7
2002-11-01,0.9,2.3,2.3,1.57180547606788,-0.6
2002-12-01,0.9,2.5,2.3,1.68646928116199,-0.4
2003-01-01,0.8,2.8,2.2,1.47936138908664,0.4
2003-02-01,0.9,3.1,2.4,1.51880558435035,0.2
2003-03-01,1.24345055256594,3,2.44268996754336,1.66155610449093,0.9
2003-04-01,0.756549447434061,2.2,2.05731003245664,1.57528849365057,1
2003-05-01,0.4,1.9,1.9,1.29732473160987,0.6
2003-06-01,0.5,1.9,2,1.22738677473956,0.3
2003-07-01,0.3,2.1,2,1.30080774919256,0.5
2003-08-01,0.5,2.2,2.1,1.27160838742963,0.9
2003-09-01,0.5,2.4,2.2,1.28666636980024,1.1
2003-10-01,0.5,2,2.1,1.27936138908664,1.8
2003-11-01,0.5,1.9,2.2,1.33397224111312,2.9
2003-12-01,0.6,2,2,1.30287235702838,3.2
2004-01-01,0.2,2,1.8,1.39732473160987,3.2
2004-02-01,0.1,1.7,1.7,1.3433861583107,2.1
2004-03-01,-0.118647670474116,1.7,1.74268996754336,1.20287235702838,3
2004-04-01,0.518647670474116,2.3,2.05731003245664,0.9631554018585,3.7
2004-05-01,0.9,2.9,2.5,1.46155610449093,4.4
2004-06-01,1.1,3.2,2.4,1.57528849365057,4.9
2004-07-01,0.9,2.9,2.3,1.39732473160987,5.2
2004-08-01,1,2.5,2.4,1.38646928116199,5.2
2004-09-01,0.9,2.5,2.2,1.24172524277013,5.1
2004-10-01,1.3,3.2,2.4,1.27160838742963,4.2
2004-11-01,1.5,3.6,2.3,1.58666636980024,2.8
2004-12-01,1.3,3.3,2.4,1.67936138908664,2.3
2005-01-01,1.2,2.8,1.9,1.76155610449093,1.8
2005-02-01,1.4,3.1,2.1,1.71880558435035,3.8
2005-03-01,1.45715588344578,3.2,2.13093612580682,1.90080774919256,2.6
2005-04-01,1.34284411655422,3.4,2.16906387419318,1.87180547606788,1.8
2005-05-01,1.1,2.9,2,1.88646928116199,1.7
2005-06-01,0.7,2.5,2,1.94172524277013,1.6
2005-07-01,1.2,3.1,2.1,2.27160838742963,1.8
2005-08-01,1,3.6,2.2,2.30287235702838,1.3
2005-09-01,1.4,4.7,2.6,2.5631554018585,0.9
2005-10-01,1.3,4.4,2.5,2.46155610449093,1.3
2005-11-01,1,3.3,2.3,2.17528849365057,1.3
2005-12-01,1,3.3,2.3,2.19732473160987,1.6
2006-01-01,1.3,4,2.5,2.18646928116199,2.3
2006-02-01,1.4,3.6,2.4,2.21880558435035,1
2006-03-01,0.943450552565939,3.4,2.24268996754336,1.97936138908664,1
2006-04-01,1.15654944743406,3.6,2.45731003245664,2.33397224111312,1.5
2006-05-01,1.4,4,2.5,2.40287235702838,1.6
2006-06-01,1.6,4.2,2.5,2.5631554018585,1.9
2006-07-01,1.4,4.1,2.5,2.56155610449093,1.6
2006-08-01,1.5,3.9,2.3,2.60080774919256,1.7
2006-09-01,0.8,2,1.8,2.47180547606788,1.5
2006-10-01,0.3,1.4,1.6,2.48646928116199,1.2
2006-11-01,0.5,2,1.9,2.84172524277013,1.8
2006-12-01,0.6,2.5,1.9,2.87160838742963,2.8
2007-01-01,0.1,2.1,1.9,2.60287235702838,2.2
2007-02-01,0,2.4,1.9,2.71880558435035,2.7
2007-03-01,0.204093395701852,2.8,2.02872073732629,2.99732473160987,3.3
2007-04-01,0.495906604298148,2.6,1.87127926267371,2.72738677473956,3
2007-05-01,0.5,2.7,1.9,2.50080774919256,3.4
2007-06-01,0.6,2.7,1.9,2.47180547606788,4.4
2007-07-01,0.7,2.3,1.8,1.98646928116199,5.6
2007-08-01,0.4,1.9,1.8,1.97936138908664,6.6
2007-09-01,0.7,2.8,2.2,2.03397224111312,6.4
2007-10-01,1.3,3.6,2.6,2.20287235702838,6.6
2007-11-01,1.8,4.4,3.1,2.2631554018585,7
2007-12-01,2,4.1,3.1,2.36155610449093,6.6
2008-01-01,2.4,4.3,3.3,2.40080774919256,7.1
2008-02-01,2.4,4.1,3.3,2.58121939326547,8.8
2008-03-01,2.65715588344578,4,3.63093612580682,2.56155610449093,8.4
2008-04-01,2.24284411655422,3.9,3.36906387419318,2.97528849365057,8.6
2008-05-01,2.9,4.1,3.7,3.39732473160987,7.8
2008-06-01,2.9,4.9,4,3.72738677473956,7.2
2008-07-01,3.1,5.5,4.1,4.20080774919256,6.3
2008-08-01,2.9,5.3,3.9,4.37160838742963,5
2008-09-01,2.9,5,3.7,4.78666636980024,4.7
2008-10-01,2.6,3.7,3.2,4.17936138908664,4
2008-11-01,1.5,1.1,2.2,3.83397224111312,2.5
2008-12-01,0.7,0,1.7,3.10287235702838,1.3
2009-01-01,0.1,-0.1,1.2,2.99732473160987,1
2009-02-01,0.2,0,1.2,3.11880558435035,-1.6
2009-03-01,-0.426228025866105,-0.4,0.642689967543359,2.78646928116199,-1.2
2009-04-01,-0.273771974133895,-0.6,0.557310032456642,2.24172524277013,-1.5
2009-05-01,-1,-1,0.1,2.07160838742963,-1.4
2009-06-01,-1,-1.2,-0.1,1.68666636980024,-1.7
2009-07-01,-1.2,-2,-0.6,1.57936138908664,-1.8
2009-08-01,-0.8,-1.5,-0.1,1.46155610449093,-1.2
2009-09-01,-0.9,-1.4,-0.3,0.875288493650567,-0.8
2009-10-01,-0.8,-0.2,-0.1,1.29732473160987,-0.6
