Date;CHF/CHF;USD/CHF;EURO/CHF;GPB/CHF;Yuan/CHF
01/01/1999;1;1,4160;1,5954;2.3293;0,1711
01/02/1999;1;1,4463;1,5958;2.3188;0,1747
01/03/1999;1;1,4825;1,6109;2.3868;0,1791
01/04/1999;1;1,5255;1,5915;2.4528;0,1843
01/05/1999;1;1,5272;1,6033;2.4478;0,1845
01/06/1999;1;1,5480;1,5960;2.4419;0,1870
01/07/1999;1;1,4895;1,6000;2.4170;0,1799
01/08/1999;1;1,5153;1,5989;2.4288;0,1830
01/09/1999;1;1,4973;1,6042;2.4652;0,1809
01/10/1999;1;1,5200;1,6019;2.5002;0,1836
01/11/1999;1;1,5897;1,6026;2.5377;0,1920
01/12/1999;1;1,5907;1,6061;2.5739;0,1922
01/01/2000;1;1,6563;1,6058;2.6780;0,2001
01/02/2000;1;1,6689;1,5916;2.6284;0,2016
01/03/2000;1;1,6629;1,5662;2.6502;0,2009
01/04/2000;1;1,7227;1,5768;2.6651;0,2081
01/05/2000;1;1,6824;1,5569;2.5239;0,2032
01/06/2000;1;1,6344;1,5475;2.4797;0,1974
01/07/2000;1;1,6703;1,5476;2.5054;0,2018
01/08/2000;1;1,7408;1,5241;2.5209;0,2103
01/09/2000;1;1,7247;1,5264;2.5465;0,2083
01/10/2000;1;1,7966;1,5087;2.6044;0,2170
01/11/2000;1;1,7308;1,5179;2.4670;0,2091
01/12/2000;1;1,6115;1,5317;2.4085;0,1947
01/01/2001;1;1,6335;1,5419;2.3935;0,1973
01/02/2001;1;1,6699;1,5290;2.4122;0,2017
01/03/2001;1;1,7430;1,5400;2.4655;0,2106
01/04/2001;1;1,7315;1,5197;2.4838;0,2092
01/05/2001;1;1,7981;1,5249;2.5480;0,2172
01/06/2001;1;1,7935;1,5128;2.5401;0,2167
01/07/2001;1;1,7262;1,5163;2.4600;0,2085
01/08/2001;1;1,6629;1,4770;2.4161;0,2009
01/09/2001;1;1,6212;1,4712;2.3889;0,1958
01/10/2001;1;1,6341;1,4715;2.3785;0,1974
01/11/2001;1;1,6413;1,4785;2.3377;0,1983
01/12/2001;1;1,6615;1,4766;2.4130;0,2007
01/01/2002;1;1,7192;1,4748;2.4260;0,2077
01/02/2002;1;1,6961;1,4663;2.4046;0,2049
01/03/2002;1;1,6814;1,4558;2.3985;0,2031
01/04/2002;1;1,6168;1,4663;2.3569;0,1953
01/05/2002;1;1,5715;1,4685;2.2824;0,1898
01/06/2002;1;1,4810;1,4519;2.2713;0,1789
01/07/2002;1;1,4856;1,4721;2.3224;0,1795
01/08/2002;1;1,4979;1,4568;2.3233;0,1809
01/09/2002;1;1,4758;1,4631;2.3160;0,1783
01/10/2002;1;1,4764;1,4750;2.3114;0,1783
01/11/2002;1;1,4828;1,4506;2.3093;0,1792
01/12/2002;1;1,3821;1,4689;2.2263;0,1669
01/01/2003;1;1,3636;1,4610;2.2476;0,1643
01/02/2003;1;1,3518;1,4752;2.1293;0,1640
01/03/2003;1;1,3510;1,5157;2.1376;0,1650
01/04/2003;1;1,3548;1,5295;2.1659;0,1647
01/05/2003;1;1,2980;1,5550;2.1232;0,1561
01/06/2003;1;1,3500;1,5391;2.2357;0,1632
01/07/2003;1;1,3699;1,5370;2.2064;0,1656
01/08/2003;1;1,4003;1,5364;2.2081;0,1691
01/09/2003;1;1,3198;1,5527;2.1892;0,1592
01/10/2003;1;1,3395;1,5484;2.2725;0,1606
01/11/2003;1;1,2909;1,5606;2.2241;0,1559
01/12/2003;1;1,2392;1,5687;2.2146;0,1497
01/01/2004;1;1,2564;1,5769;2.2940;0,1518
01/02/2004;1;1,2621;1,5582;2.3582;0,1525
01/03/2004;1;1,2658;1,5545;2.3360;0,1531
01/04/2004;1;1,2973;1,5285;2.3080;0,1567
01/05/2004;1;1,2543;1,5236;2.2974;0,1515
01/06/2004;1;1,2494;1,5402;2.2744;0,1509
01/07/2004;1;1,2817;1,5426;2.3327;0,1548
01/08/2004;1;1,2664;1,5490;2.2815;0,1530
01/09/2004;1;1,2459;1,5275;2.2574;0,1505
01/10/2004;1;1,1948;1,5151;2.1959;0,1443
01/11/2004;1;1,1399;1,5433;2.1782;0,1377
01/12/2004;1;1,1382;1,5495;2.1839;0,1375
01/01/2005;1;1,1890;1,5379;2.2397;0,1436
01/02/2005;1;1,1613;1,5510;2.2332;0,1403
01/03/2005;1;1,1965;1,5391;2.2615;0,1445
01/04/2005;1;1,1957;1,5360;2.2816;0,1444
01/05/2005;1;1,2477;1,5514;2.2683;0,1507
01/06/2005;1;1,2818;1,5629;2.2970;0,1548
01/07/2005;1;1,2888;1,5467;2.2642;0,1557
01/08/2005;1;1,2529;1,5564;2.2597;0,1514
01/09/2005;1;1,2933;1,5453;2.2811;0,1598
01/10/2005;1;1,2890;1,5504;2.2820;0,1595
01/11/2005;1;1,3151;1,5556;2.2750;0,1628
01/12/2005;1;1,3136;1,5533;2.2612;0,1628
01/01/2006;1;1,2780;1,5642;2.2738;0,1586
01/02/2006;1;1,3120;1,5800;2.3012;0,1632
01/03/2006;1;1,3038;1,5653;2.2659;0,1626
01/04/2006;1;1,2387;1,5612;2.2630;0,1546
01/05/2006;1;1,2187;1,5636;2.2788;0,1519
01/06/2006;1;1,2226;1,5719;2.2591;0,1530
01/07/2006;1;1,2315;1,5762;2.3000;0,1545
01/08/2006;1;1,2311;1,5848;2.3446;0,1547
01/09/2006;1;1,2507;1,5879;2.3415;0,1582
01/10/2006;1;1,2440;1,5871;2.3735;0,1579
01/11/2006;1;1,1989;1,6080;2.3556;0,1530
01/12/2006;1;1,2186;1,6208;2.3872;0,1561
01/01/2007;1;1,2437;1,6130;2.4430;0,1600
01/02/2007;1;1,2188;1,6238;2.3941;0,1575
01/03/2007;1;1,2156;1,6475;2.3925;0,1573
01/04/2007;1;1,2074;1,6481;2.4139;0,1567
01/05/2007;1;1,2250;1,6542;2.4256;0,1602
01/06/2007;1;1,2215;1,6426;2.4533;0,1604
01/07/2007;1;1,2011;1,6475;2.4372;0,1586
01/08/2007;1;1,2087;1,6616;2.4379;0,1602
01/09/2007;1;1,1643;1,6774;2.3829;0,1551
01/10/2007;1;1,1583;1,6570;2.4109;0,1550
01/11/2007;1;1,1324;1,6541;2.3295;0,1530
01/12/2007;1;1,1338;1,6067;2.2506;0,1552
01/01/2008;1;1,0807;1,5806;2.1486;0,1504
01/02/2008;1;1,0412;1,5686;2.0689;0,1464
01/03/2008;1;0,9937;1,6171;1.9705;0,1417
01/04/2008;1;1,0354;1,6212;2.0568;0,1481
01/05/2008;1;1,0423;1,6085;2.0662;0,1501
01/06/2008;1;1,0209;1,6341;2.0345;0,1489
01/07/2008;1;1,0472;1,6162;2.0776;0,1533
01/08/2008;1;1,1014;1,5811;2.1961;0,1608
01/09/2008;1;1,1214;1,4742;1.9968;0,1636
01/10/2008;1;1,1578;1,5413;1.8606;0,1693
01/11/2008;1;1,2138;1,4934;1.8687;0,1778
01/12/2008;1;1,0672;1,4840;1.5588;0,1564
01/01/2009;1;1,1610;1,4832;1.6847;0,1698
01/02/2009;1;1,1708;1,5104;1.6755;0,1712
01/03/2009;1;1,1393;1,5095;1.6327;0,1668
01/04/2009;1;1,1412;1,5099;1.6878;0,1674
01/05/2009;1;1,0668;1,5240;1.7266;0,1562
01/06/2009;1;1,0860;1,5227;1.7880;0,1590
01/07/2009;1;1,0686;1,5182;1.7867;0,1564
01/08/2009;1;1,0590;1,5164;1.7244;0,1551
01/09/2009;1;1,0360;1,5108;1.6583;0,1518
01/10/2009;1;1,0265;1,5088;1.6878;0,1503
01/11/2009;1;1,0051;1,4828;1.6543;0,1472
01/12/2009;1;1,0356;1,4706;1.6732;0,1517
01/01/2010;1;1,0606;1,4630;1.6971;0,1553
01/02/2010;1;1,0736;1,4241;1.6376;0,1573
01/03/2010;1;1,0538;1,4331;1.6004;0,1544
01/04/2010;1;1,0777;1,4213;1.6457;0,1578
01/05/2010;1;1,1550;1,3185;1.6794;0,1691
01/06/2010;1;1,0775;1,3592;1.6110;0,1588
01/07/2010;1;1,0417;1,2874;1.6339;0,1537
01/08/2010;1;1,0145;1,3393;1.5576;0,1489
01/09/2010;1;0,9823;1,3701;1.5436;0,1467
01/10/2010;1;0,9822;1,3034;1.5755;0,1472
01/11/2010;1;1,0043;1,2495;1.5616;0,1506
01/12/2010;1;0,9340;1,2921;1.4572;0,1416
01/01/2011;1;0,9442;1,2824;1.5120;0,1428
01/02/2011;1;0,9288;1,3009;1.5107;0,1413
01/03/2011;1;0,9184;1,2801;1.4723;0,1402
01/04/2011;1;0,8650;1,2285;1.4446;0,1332
01/05/2011;1;0,8538;1,2185;1.4043;0,1317
01/06/2011;1;0,8401;1,1303;1.3483;0,1299
01/07/2011;1;0,7852;1,1585;1.2891;0,1220
01/08/2011;1;0,8057;1,2151;1.3096;0,1263
01/09/2011;1;0,9079;1,2153;1.4147;0,1422
01/10/2011;1;0,8772;1,2277;1.4111;0,1380
01/11/2011;1;0,9131;1,2133;1.4332;0,1432
01/12/2011;1;0,9376;1,2033;1.4566;0,1490
01/01/2012;1;0,9202;1,2046;1.4500;0,1459
01/02/2012;1;0,9042;1,2035;1.4387;0,1436
01/03/2012;1;0,9020;1,2011;1.4441;0,1432
01/04/2012;1;0,9071;1,2007;1.4723;0,1438
01/05/2012;1;0,9716;1,2004;1.4962;0,1526
01/06/2012;1;0,9483;1,2009;1.4893;0,1492
01/07/2012;1;0,9763;1,2011;1.5303;0,1534
01/08/2012;1;0,9549;1,2078;1.5150;0,1504
01/09/2012;1;0,9396;1,2066;1.5188;0,1495
01/10/2012;1;0,9309;1,2051;1.5025;0,1494
01/11/2012;1;0,9277;1,2074;1.4845;0,1488
01/12/2012;1;0,9155;1,2359;1.4858;0,1469
01/01/2013;1;0,9097;1,2235;1.4433;0,1463
01/02/2013;1;0,9361;1,2166;1.4203;0,1505
01/03/2013;1;0,9491;1,2233;1.4431;0,1528
01/04/2013;1;0,9291;1,2409;1.4430;0,1507
01/05/2013;1;0,9549;1,2289;1.4513;0,1557
01/06/2013;1;0,9447;1,2317;1.4370;0,1539
01/07/2013;1;0,9261;1,2294;1.4082;0,1511
01/08/2013;1;0,9298;1,2237;1.4419;0,1519
01/09/2013;1;0,9048;1,2313;1.4643;0,1478
01/10/2013;1;0,9066;1,2313;1.4542;0,1488
01/11/2013;1;0,9061;1,2272;1.4828;0,1487
01/12/2013;1;0,8928;1,2217;1.4781;0,1475
01/01/2014;1;0,9060;1,2139;1.4887;0,1495
01/02/2014;1;0,8795;1,2180;1.4725;0,1431
01/03/2014;1;0,8845;1,2206;1.4738;0,1423
01/04/2014;1;0,8803;1,2197;1.4854;0,1407
01/05/2014;1;0,8949;1,2141;1.4990;0,1432
01/06/2014;1;0,8868;1,2163;1.5168;0,1429
01/07/2014;1;0,9085;1,2058;1.5339;0,1471
01/08/2014;1;0,9182;1,2063;1.5239;0,1495
01/09/2014;1;0,9550;1,2058;1.5482;0,1556
01/10/2014;1;0,9628;1,2020;1.5400;0,1575
01/11/2014;1;0,9655;1,2026;1.5106;0,1572
01/12/2014;1;0,9941;1,0390;1.5481;0,1601
01/01/2015;1;0,9206;1,0667;1.3870;0,1473
01/02/2015;1;0,9530;1,0435;1.4707;0,1520
01/03/2015;1;0,9725;1,0462;1.4409;0,1568
01/04/2015;1;0,9323;1,0330;1.4310;0,1503
01/05/2015;1;0,9402;1,0415;1.4374;0,1517
01/06/2015;1;0,9353;1,0608;1.4689;0,1508
01/07/2015;1;0,9655;1,0840;1.5083;0,1555
01/08/2015;1;0,9669;1,0871;1.4834;0,1516
