"Date","Switzerland","USA","China","Euro.Area","UK"
1999-01-01,61.4,88.8,103.3,85.1,88.1
1999-02-01,61.54,89.3,89.5,84,88.2
1999-03-01,61.81,89.5,95.5,84.4,89.1
1999-04-01,62.22,89.7,95.6,84.7,88.9
1999-05-01,62.67,90.3,95.4,85,89.8
1999-06-01,63.18,90.2,95.6,85.5,89.6
1999-07-01,63.73,90.7,95.8,86.3,90.5
1999-08-01,64.36,91.1,96,86.3,91.2
1999-09-01,65.07,90.8,94.8,86.9,91.7
1999-10-01,65.87,91.9,93.8,87.9,91.1
1999-11-01,66.65,92.4,94.3,88,91.8
1999-12-01,67.41,93.2,94.1,87.9,90.6
2000-01-01,68.16,93.1,95.4,87.7,91.4
2000-02-01,68.53,93.4,98.2,88.8,91.7
2000-03-01,68.51,93.8,98.1,89,91.4
2000-04-01,68.11,94.4,97.6,90.1,91.2
2000-05-01,68.05,94.6,97.7,91.3,91.5
2000-06-01,68.32,94.7,98.3,90.1,92
2000-07-01,68.93,94.5,98.9,91.1,91.4
2000-08-01,69.49,94.3,98.9,91.1,92.6
2000-09-01,70,94.7,98.2,91.3,92.3
2000-10-01,70.46,94.3,97.6,91.5,92.5
2000-11-01,70.91,94.4,96.9,92.3,93.3
2000-12-01,71.36,94,96.8,92.9,95.2
2001-01-01,71.81,93.6,89.7,92.1,95
2001-02-01,71.74,93,104.3,92.5,95
2001-03-01,71.16,92.7,98.2,92.1,95.8
2001-04-01,70.07,92.4,97.7,91.2,96.3
2001-05-01,69.24,91.9,96.6,91.5,95.8
2001-06-01,68.66,91.4,96.5,91.5,96.5
2001-07-01,68.34,90.9,94.7,89.8,96.2
2001-08-01,67.97,90.8,94.7,91.9,97.3
2001-09-01,67.56,90.3,96,90.8,96.8
2001-10-01,67.1,90,95.4,89.4,96.2
2001-11-01,66.41,89.5,94.6,88.9,96.3
2001-12-01,65.48,89.5,95.3,89.7,95.9
2002-01-01,64.31,90.1,103.9,89.6,95.3
2002-02-01,63.91,90.1,90,89.8,95.4
2002-03-01,64.26,90.8,97.2,90.6,97.2
2002-04-01,65.38,91.2,98.2,90.4,95.1
2002-05-01,66.03,91.6,98.9,90.8,98.1
2002-06-01,66.22,92.3,98.5,91.2,93.1
2002-07-01,65.95,92.3,98.9,90.5,99.2
2002-08-01,65.71,92.2,98.8,90.8,99
2002-09-01,65.52,92.3,99.7,91.3,100.5
2002-10-01,65.36,92.1,100.1,90.7,99.2
2002-11-01,65.21,92.6,100.4,91.1,99.5
2002-12-01,65.07,92.1,100.7,89.9,100.3
2003-01-01,64.94,92.8,100.6,91.2,99.8
2003-02-01,64.66,92.9,105,91.4,100.9
2003-03-01,64.22,92.7,102.5,90.8,100.6
2003-04-01,63.64,92.1,100.7,91.1,100.1
2003-05-01,63.72,92.1,99.6,89.6,98.8
2003-06-01,64.47,92.2,102.5,89.6,99.4
2003-07-01,65.89,92.7,102.1,91.1,100
2003-08-01,66.75,92.5,102.6,90,100.2
2003-09-01,67.07,93.1,101.9,89.7,100.4
2003-10-01,66.83,93.2,102.7,92.2,102.2
2003-11-01,66.8,93.8,103.3,92,100.8
2003-12-01,66.99,93.9,103.5,92.1,100.8
2004-01-01,67.39,94,94,91.9,102.1
2004-02-01,68.03,94.6,108,92.7,101.8
2004-03-01,68.91,94.2,104.6,92.1,101.9
2004-04-01,70.03,94.6,104.4,93,102.4
2004-05-01,70.18,95.3,103,93.2,100.9
2004-06-01,69.37,94.6,101.8,93,100.7
2004-07-01,67.59,95.3,101.2,93.8,100.3
2004-08-01,66.47,95.4,101.6,92.1,98.8
2004-09-01,66.02,95.5,101.8,93.3,98.5
2004-10-01,66.22,96.3,101.4,93.7,98.5
2004-11-01,66.5,96.5,100.6,92.6,99.2
2004-12-01,66.86,97.3,100.3,92.8,98.7
2005-01-01,67.28,97.6,106,93.8,99.3
2005-02-01,67.51,98.3,94.3,93.3,98.9
2005-03-01,67.54,98.2,100.9,93.4,97.3
2005-04-01,67.37,98.4,101.7,94.8,99.9
2005-05-01,67.32,98.5,102.2,93.4,99.3
2005-06-01,67.4,98.9,102.4,94.3,100.1
2005-07-01,67.59,98.6,101.8,94.9,98.9
2005-08-01,67.97,98.9,101.7,93.6,98.1
2005-09-01,68.52,97,102.1,95.1,99.5
2005-10-01,69.24,98.2,101.8,95.3,98.5
2005-11-01,69.82,99.3,102.2,96.8,99.8
2005-12-01,70.27,99.8,102.1,95.8,103.2
2006-01-01,70.57,99.9,103.7,96.5,101.8
2006-02-01,70.93,100,105.3,96.5,101.7
2006-03-01,71.33,100.2,103.2,97.1,102.9
2006-04-01,71.77,100.5,102.2,97.4,103.1
2006-05-01,72.13,100.5,103.3,98.8,104
2006-06-01,72.41,100.9,104.7,98.8,104.6
2006-07-01,72.61,100.8,102.3,98.7,103.5
2006-08-01,73.34,101.2,101.4,98.9,104.4
2006-09-01,74.61,101.1,101.8,99,104.7
2006-10-01,76.42,100.9,100.5,98.8,103.6
2006-11-01,77.32,100.9,100.7,99.7,104.3
2006-12-01,77.31,102,100.5,101.1,103.6
2007-01-01,76.39,101.6,99.6,100.6,104
2007-02-01,76.45,102.6,98.7,101.2,102.6
2007-03-01,77.47,102.8,103.1,101.9,102.3
2007-04-01,79.46,103.4,102.9,100.5,100.9
2007-05-01,80.94,103.5,103.5,102.2,103
2007-06-01,81.9,103.5,104.6,102.5,101.3
2007-07-01,82.35,103.4,103.4,102.6,100.8
2007-08-01,82.4,103.6,103,103.3,102.1
2007-09-01,82.05,103.8,104.2,102.9,100.8
2007-10-01,81.3,103.5,103.3,103.6,101.4
2007-11-01,80.84,104.1,102.8,103.1,101.6
2007-12-01,80.67,104.2,102.9,103.4,101.1
2008-01-01,80.79,104,102,104.5,101
2008-02-01,80.93,103.6,101.1,104.5,102.3
2008-03-01,81.08,103.3,103.2,103.8,99.4
2008-04-01,81.25,102.6,101.4,105.2,100.9
2008-05-01,81.37,102,101.7,102,100.1
2008-06-01,81.43,101.7,101.7,102.3,99.7
2008-07-01,81.44,101.2,100.5,101.3,100.5
2008-08-01,80.87,99.6,98.9,100.9,99.8
2008-09-01,79.73,95.3,97.6,100.1,99.4
2008-10-01,78.02,96.2,94.8,97.8,99.3
2008-11-01,76.53,95,92.4,94.3,95.1
2008-12-01,75.26,92.3,92.6,90.4,95.2
2009-01-01,74.22,90,97.3,86.7,93
2009-02-01,73.44,89.5,97.3,84.7,93
2009-03-01,72.91,88.1,94.9,83.7,92.3
2009-04-01,72.64,87.4,94,82.5,93.6
2009-05-01,72.73,86.5,95.4,84.5,92.2
2009-06-01,73.2,86.2,97,85.1,92.7
2009-07-01,74.02,87.3,97.1,85.3,93.6
2009-08-01,74.67,88.2,98.4,85.4,91.7
2009-09-01,75.12,89,99.8,87.4,91.7
2009-10-01,75.4,89.2,101.8,87.1,91.9
2009-11-01,76.06,89.6,104.5,87.4,91.7
2009-12-01,77.11,89.9,103.9,87.3,91.8
2010-01-01,78.54,90.8,98.9,88.8,91.3
